Date,Time,Away,A-Pts,Home,H-Pts,OT
"Mon, May 2, 2005",8:00p,Houston Rockets,100,Dallas Mavericks,103,
"Mon, May 2, 2005",10:30p,San Antonio Spurs,126,Denver Nuggets,115,OT
"Tue, May 3, 2005",7:30p,Indiana Pacers,90,Boston Celtics,85,
"Tue, May 3, 2005",8:00p,Philadelphia 76ers,78,Detroit Pistons,88,
"Tue, May 3, 2005",10:30p,Sacramento Kings,118,Seattle SuperSonics,122,
"Wed, May 4, 2005",7:00p,Washington Wizards,112,Chicago Bulls,110,
"Wed, May 4, 2005",9:30p,Denver Nuggets,89,San Antonio Spurs,99,
"Thu, May 5, 2005",7:00p,Boston Celtics,92,Indiana Pacers,89,OT
"Thu, May 5, 2005",9:30p,Dallas Mavericks,83,Houston Rockets,101,
"Fri, May 6, 2005",8:00p,Chicago Bulls,91,Washington Wizards,94,
"Sat, May 7, 2005",7:00p,Indiana Pacers,97,Boston Celtics,70,
"Sat, May 7, 2005",9:30p,Houston Rockets,76,Dallas Mavericks,116,
"Sun, May 8, 2005",3:30p,Washington Wizards,86,Miami Heat,105,
"Sun, May 8, 2005",8:00p,Seattle SuperSonics,81,San Antonio Spurs,103,
"Mon, May 9, 2005",8:00p,Indiana Pacers,81,Detroit Pistons,96,
"Mon, May 9, 2005",10:30p,Dallas Mavericks,102,Phoenix Suns,127,
"Tue, May 10, 2005",7:00p,Washington Wizards,102,Miami Heat,108,
"Tue, May 10, 2005",9:30p,Seattle SuperSonics,91,San Antonio Spurs,108,
"Wed, May 11, 2005",8:00p,Indiana Pacers,92,Detroit Pistons,83,
"Wed, May 11, 2005",10:30p,Dallas Mavericks,108,Phoenix Suns,106,
"Thu, May 12, 2005",8:00p,Miami Heat,102,Washington Wizards,95,
"Thu, May 12, 2005",10:30p,San Antonio Spurs,91,Seattle SuperSonics,92,
"Fri, May 13, 2005",7:00p,Detroit Pistons,74,Indiana Pacers,79,
"Fri, May 13, 2005",9:30p,Phoenix Suns,119,Dallas Mavericks,102,
"Sat, May 14, 2005",8:00p,Miami Heat,99,Washington Wizards,95,
"Sun, May 15, 2005",3:30p,Detroit Pistons,89,Indiana Pacers,76,
"Sun, May 15, 2005",7:00p,San Antonio Spurs,89,Seattle SuperSonics,101,
"Sun, May 15, 2005",9:30p,Phoenix Suns,109,Dallas Mavericks,119,
"Tue, May 17, 2005",7:00p,Indiana Pacers,67,Detroit Pistons,86,
"Tue, May 17, 2005",9:30p,Seattle SuperSonics,90,San Antonio Spurs,103,
"Wed, May 18, 2005",9:00p,Dallas Mavericks,108,Phoenix Suns,114,
"Thu, May 19, 2005",8:00p,Detroit Pistons,88,Indiana Pacers,79,
"Thu, May 19, 2005",10:30p,San Antonio Spurs,98,Seattle SuperSonics,96,
"Fri, May 20, 2005",9:00p,Phoenix Suns,130,Dallas Mavericks,126,OT
"Sun, May 22, 2005",3:30p,San Antonio Spurs,121,Phoenix Suns,114,
"Mon, May 23, 2005",8:00p,Detroit Pistons,90,Miami Heat,81,
"Tue, May 24, 2005",9:00p,San Antonio Spurs,111,Phoenix Suns,108,
"Wed, May 25, 2005",8:00p,Detroit Pistons,86,Miami Heat,92,
"Sat, May 28, 2005",9:00p,Phoenix Suns,92,San Antonio Spurs,102,
"Sun, May 29, 2005",8:00p,Miami Heat,113,Detroit Pistons,104,
"Mon, May 30, 2005",8:30p,Phoenix Suns,111,San Antonio Spurs,106,
"Tue, May 31, 2005",8:00p,Miami Heat,96,Detroit Pistons,106,
